TempOut,DewPt_,WSpeed,WHSpeed,Bar,Rain,ET,WDir_deg,Date_num
10.7,-2.6,6.4,37.0,621.2,0.0,4.1,154.5,1743465600.0
10.6,-9.1,4.8,24.0,621.4,0.0,4.4,121.4,1743552000.0
9.3,-5.5,5.7,33.0,622.7,0.0,4.1,82.0,1743638400.0
8.8,1.5,6.7,35.0,623.4,0.0,3.7,120.7,1743724800.0
9.2,-2.1,8.3,39.0,622.7,0.0,3.8,143.7,1743811200.0
9.7,-12.1,9.7,37.0,622.3,0.0,5.9,217.5,1743897600.0
8.5,-15.2,5.6,28.0,621.4,0.0,4.6,174.1,1743984000.0
8.2,-13.8,6.1,34.0,621.5,0.0,4.7,183.8,1744070400.0
7.5,-19.9,10.1,36.0,622.3,0.0,5.6,194.8,1744156800.0
8.1,-19.2,11.1,44.0,621.7,0.0,6.1,247.0,1744243200.0
6.2,-16.2,11.8,42.0,620.3,0.0,5.6,238.8,1744329600.0
5.5,-18.7,10.4,35.0,620.8,0.0,5.3,220.1,1744416000.0
5.2,-15.9,9.7,37.0,621.7,0.0,4.8,171.3,1744502400.0
5.2,-19.4,11.3,40.0,621.1,0.0,5.5,230.9,1744588800.0
5.6,-20.6,7.0,27.0,621.1,0.0,4.2,243.0,1744675200.0
4.9,-22.2,9.8,37.0,620.8,0.0,5.2,212.3,1744761600.0
6.5,-23.1,6.3,31.0,620.7,0.0,4.6,178.6,1744848000.0
8.1,-31.1,8.4,35.0,621.7,0.0,5.4,232.5,1744934400.0
8.1,-19.1,6.7,29.0,622.5,0.0,4.7,116.0,1745020800.0
8.6,-14.1,5.3,29.0,621.6,0.0,3.3,160.1,1745107200.0
4.7,-3.1,2.8,14.0,621.8,3.0,1.6,155.6,1745193600.0
5.9,-1.0,3.6,22.0,620.6,0.0,2.6,128.7,1745280000.0
4.0,-1.5,3.6,29.0,620.3,0.0,1.2,132.2,1745366400.0
5.6,-6.7,9.1,34.0,620.4,0.2,4.3,179.8,1745452800.0
6.8,-14.8,8.2,45.0,620.3,0.0,4.7,203.0,1745539200.0
6.3,-17.7,4.2,23.0,620.9,0.0,3.4,170.9,1745625600.0
4.6,-20.7,4.2,28.0,621.3,0.0,3.0,205.5,1745712000.0
